名字,正文,时间,text_result
"
DUKE_LAN",我呼籲湖北武漢重疫情地區的朋友們 不要亂跑了，你們的一舉一動牽動全國人民的安全，自覺自願的遵守規定 多傳染一個人風險也就會更大????加油吧 ,20191208-20200122,1
"
Mary_516",一直对深圳的医疗特别放心，有卫健委官方说了，安心过年啦！ ,20191208-20200122,1
"
悄悄的告诉他",一起加油 ,20191208-20200122,1
"
k1ssMyX1a0pp",收到 ,20191208-20200122,1
"
少年壮志不言愁555",从流感高峰期这里从来不科普就知道了 ,20191208-20200122,1
"
-applesauce",我胸闷咳嗽 不知道是这个还是只是气管炎… ,20191208-20200122,0
"
新新一新",猫可以接触吗？ ,20191208-20200122,1
"
图美犀利哥",我就在海鲜市场上班的，而且现在头痛感冒，鼻塞，慌得一批 ,20191208-20200122,0
"
Yi_顏",潜伏期查的出来吗 ,20191208-20200122,1
"
感谢你的微笑慌乱过我的年华",不好好睡觉 ,20191208-20200122,0
"
善小情申",加油 ,20191208-20200122,1
"
Eva娇",@JOOHAMM ,20191208-20200122,0
"
绘幻空忆",收到 ,20191208-20200122,0
"
中华田园丐",除了N95其他都防不了病菌，但是一般人不会日常和患者正面接触的话，主要防止唾沫和其他分泌物中的病毒就好了，所以无论是医用还是防雾霾其实都比不多，当然医用会更好一些，戴了比没戴要好 ,20191208-20200122,1
"
xx一只可爱",我也是咳嗽 ,20191208-20200122,1
"
超元气软萌甜隐形守护者智勇雪兔",隔离，关黑屋 ,20191208-20200122,1
"
花w_JIMHAO",666,20191208-20200122,1
"
90后的yyyu",认为可防可治的那个专家现在也被传染了 ,20191208-20200122,1
"
羈絆至死的痛",武汉加油 ,20191208-20200122,1
"
源气满满都是爱",做好自己 ,20191208-20200122,1
"
醉翁之意319",要医用的，防雾霾的也没用 ,20191208-20200122,1
"
googoogoo3",上一条已经说过了，这是公开的政务号，不是地方账号。 ,20191208-20200122,0
"
君子当世无双",好 ,20191208-20200122,1
"
hheaooo",很多症状都是吓出来的 ,20191208-20200122,0
"
yueqiukongjianzhan",@WqW_Yeah 少去人流密集处 ,20191208-20200122,1
"
赵小胖12138",最近想上火，你这一句话说的好吓人啊 ,20191208-20200122,0
"
一只吃板栗的土拨鼠",手中的热水不够烫了 ,20191208-20200122,0
"
某科学的超空间移动",@-蜜意s ,20191208-20200122,0
"
不想努力的琳琳公主",我也有这种症状，可是是有发烧。医生说是喉咙引起的 ,20191208-20200122,0
"
熙熙Winner",目前就是没有发烧 会有乏力 咳嗽 不太想吃饭那种 ,20191208-20200122,0
"
不想努力的琳琳公主",有发烧啊…… ,20191208-20200122,1
"
Cool温暖加满_Heather",瑟瑟发抖 ,20191208-20200122,0
"
fu_zhuoyu",家里过年要杀鸡 会不会有事啊？？怕不安全 ,20191208-20200122,0
"
挣钱养蒙蒙的ZZ-Jacob",就操心我媳妇啊！！！ ,20191208-20200122,0
"
熙熙Winner",不发烧是不是就不是 ,20191208-20200122,1
"
采蘑菇的为爱所伤",平安 ,20191208-20200122,1
"
夜雨2333333",怕怕 ,20191208-20200122,0
"
Lim尝起来就像甜甜圈",多吃俘虏 ,20191208-20200122,1
"
Lim尝起来就像甜甜圈",多喝王水 ,20191208-20200122,1
"
Lim尝起来就像甜甜圈",干了兄弟们 ,20191208-20200122,1
"
Lim尝起来就像甜甜圈",多喝奥利给 ,20191208-20200122,1
"
Lim尝起来就像甜甜圈",多喝美汁汁儿 ,20191208-20200122,1
"
samsonspace",@一腔孤勇555 ,20191208-20200122,0
"
Lim尝起来就像甜甜圈",多喝岩浆 ,20191208-20200122,0
"
Lim尝起来就像甜甜圈",多喝羊水 ,20191208-20200122,0
"
看不见得花儿",哈哈哈 ,20191208-20200122,1
"
_我是个悲伤的狼灭_",小姐姐，这也太巧了哈哈啊哈哈哈哈哈哈 ,20191208-20200122,1
"
猫咪喜欢呜噜噜",请注意称呼，新型冠状病毒已经确定叫2019-nCoV了 ,20191208-20200122,1
"
永远喜欢黄啵啵",都要好好的积极做好预防 ,20191208-20200122,1
"
睡眠研究室",@温水蜜桃 ,20191208-20200122,0
"
MuteMing",这次的病毒真的是有点恐怖 ,20191208-20200122,0
"
小李今天困了吗",你也是 ,20191208-20200122,1
"
荡妇yy",6,20191208-20200122,1
"
ubahhhhh",@小李今天困了吗 注意安全 ,20191208-20200122,1
"
杰浩OK",哦 ,20191208-20200122,0
"
九离时倾xo",别怕，?? 病就治疗 ,20191208-20200122,1
"
紫奥利奥",踩过 ,20191208-20200122,0
"
沐清风xy",需要，我哈尔滨已经慌了 ,20191208-20200122,0
"
沐清风xy",是不是有点生气 ,20191208-20200122,0
"
肖夫人琼酱",我也是，现在特慌 ,20191208-20200122,0
"
我今天可爱到爆炸",可以 ,20191208-20200122,1
"
落千凰",希望能尽快控制 ,20191208-20200122,1
"
BigMaccccc",@不爱吃肉的章鱼 ,20191208-20200122,0
"
零zero_1995",现在应该准备取消了 ,20191208-20200122,1
"
小默神",没曾想到我就是其中的患者，我能做到的就是不传播给其它人，我会待在家里不出门 希望能研究出治疗的方法！活着也许 会很美好 ,20191208-20200122,1
"
Caroline-君",别把自己吓坏了 ,20191208-20200122,1
"
Procrastination_-_",多带口罩 ,20191208-20200122,1
"
音乐人高雄啸",少出门 ,20191208-20200122,1
"
GH0zvL-此号报废-勿信",我昨天也去了，说是流感 ,20191208-20200122,0
"
zyUuUsmile",我去看了 没事，不要自己吓唬自己 ,20191208-20200122,1
"
孤独乡村教师刀",知道啦 老婆 ,20191208-20200122,1
"
白绛wyj",(*????｀*) ,20191208-20200122,0
"
马达加斯加de企",我感觉我好像也是气管炎了，不过吃了一盒管支气管炎的消炎药，不管用啊 ,20191208-20200122,0
"
马达加斯加de企",吃消炎药了，一盒吃完了不好，就没再吃了 ,20191208-20200122,1
"
美好明天02593",把锅背好 ,20191208-20200122,0
"
到太空摘果子",@G-0117 ,20191208-20200122,0
"
雪碧加雪-",什么叫武汉肺炎？？ ,20191208-20200122,0
"
在深圳的鹿鹿",现在深圳确诊的有9例了，昨天8例观察的可能都患上了。 ,20191208-20200122,0
"
人约分离后",好 ,20191208-20200122,1
"
快乐单身汉-",好惊 ,20191208-20200122,0
"
吴杰丹_Egg",深圳的官方号把一个新闻联播都已经播出正式官方名称的肺炎称作“武汉肺炎”，有没有意识到自己的官方属性呢？ ,20191208-20200122,0
"
在深圳的鹿鹿",心真大 ,20191208-20200122,0
"
吴杰丹_Egg",武汉招宁惹宁了？宁们深圳人非给命名个“武汉肺炎”？新闻联播怎么说的宁看不到？ ,20191208-20200122,0
"
SAI62136",对的，当年非典也没有冠名广东肺炎呀 ,20191208-20200122,1
"
Fiona大珍珠玮",我也是 昨晚突然就感觉没有力气 不知道是不是心理作用 ,20191208-20200122,0
"
零zero_1995",还准备去长隆野生动物园玩一趟呢 ,20191208-20200122,1
"
龙猫--余小钞",看着我咳嗽不止的小孩 心里瑟瑟发抖 ,20191208-20200122,0
"
Paul_0731",@狮阿莎 ,20191208-20200122,0
"
假意温存",我也在咳嗽 ,20191208-20200122,0
"
sethc188",所以现在鸡蛋猪肉都不能吃了 ,20191208-20200122,0
"
王口水呀",我是没事 ,20191208-20200122,1
"
杺宝儿的七七八八",我只关心返深的人应该怎么做才扩散！ ,20191208-20200122,1
"
顺其自然__zc",开大g进故宫躲一躲 ,20191208-20200122,0
"
汐崖香",不要n95，和医用可能不一样 ,20191208-20200122,1
"
素质米粉",西方目前没有一个科技公司知道病毒结构，除了中国，人家之所以拿非典炒作，就是搞事情，动下脑子啦 ,20191208-20200122,1
"
素质米粉",你这就是没用脑子思考了 ,20191208-20200122,0
"
VIVIANE-Q",非要去的话，戴口罩！ ,20191208-20200122,1
"
时间和时光倒流",呵呵，治疗全靠极贵的的药，普通家庭怎么负担。 ,20191208-20200122,0
"
糖豆ou",@开心的小周呀 ,20191208-20200122,1
"
关咻咻今天恋爱了吗",@我今天可爱到爆炸 等这个过了在蹦迪吧哈哈哈哈 ,20191208-20200122,1
"
yybaby加油",@Nosevenzz ,20191208-20200122,0
"
欧陽龍森",#武汉15名医务人员感染新型冠状病毒# ,20191208-20200122,0
"
时光机蓝胖子",一直说外科医用口罩，我在深圳固戍周围的药店跑光了都买不到，市面上高点的医用护理口罩，根本买不到外科口罩，医院给的都是一次性口罩 ,20191208-20200122,0
"
米菲susu",@太阳在这儿 ,20191208-20200122,0
"
恭喜发财_ln",好 一路平安 ,20191208-20200122,1
"
沁沁的baby",可以去外面吃饭吗 ,20191208-20200122,1
"
马三三三疯",昨天有点发烧 今天我妈已经被变相隔离了 ,20191208-20200122,0
"
在深圳的鹿鹿",真要出行口罩什么的还是要准备好，人多的地方少去 ,20191208-20200122,1
"
溺于月亮湾",作为武汉人的我瑟瑟发抖估计别人都不让我们出去 ,20191208-20200122,0
"
孤独与诗--",@马三三三疯 你们在医院可千万要注意，医院病菌最多了 ,20191208-20200122,0
"
嗯嗯好呢_",害。我也是，吃完就呼吸道感染了 ,20191208-20200122,0
"
Mirabelle_kun",还是尽量做好防范措施 清洗手 戴口罩 ,20191208-20200122,1
"
陌若安生-NN",@赚大钱__ ,20191208-20200122,1
"
施施lem",@Pure-Water桀 ,20191208-20200122,0
"
苏荭蕴",应该第一时间就当成sars来对待的。虽然不是 ,20191208-20200122,1
"
聚安园混混",@二混子--Stone????这是您的图，不知授权没有 ,20191208-20200122,0
"
龙七班长",N95在某宝已经涨价到两三百了 ,20191208-20200122,0
"
Yun-jiao_1018",少出門 ,20191208-20200122,1
"
承小钰吃西瓜",课代表总结——不出门、戴口罩、勤洗手、远家禽、拒野味、吃熟食 ,20191208-20200122,1
"
小0缺个翘臀",@小婉喜欢夜晚_ ,20191208-20200122,1
"
一只露馅的牛肉包",我有一个白痴的问题想问 就是如果家属隔离 14天的话在医院观察 那费用要自己出嘛 ,20191208-20200122,0
"
要幸福诶",注意安全！ ,20191208-20200122,1
"
今天不想哭了",@张珊很不错嘿 ,20191208-20200122,0
"
MiniStar_",这病毒怎么到武汉的？ ,20191208-20200122,0
"
-iDDDDDDo",是的啊，我要捂严实出门 ,20191208-20200122,1
"
有点肉肉的好可爱",@酷酷的桂娟 好好看看 ,20191208-20200122,1
"
Alpha-111",@丿董一行 好像越来越严重 ,20191208-20200122,0
"
L_null",保佑???? ,20191208-20200122,1
"
X107Y255",@东京小板栗 @刈脉丶 @irlil ,20191208-20200122,0
"
三十一画的名",正在咳嗽的我有点发抖 ,20191208-20200122,0
"
青岛恒星职业中等专业学校",治疗费贵不 ,20191208-20200122,0
"
香草絮子风",现在很多部门可能觉得在微博微信发个文章，全世界都知道了似的。 ,20191208-20200122,0
"
匿名网友404",及时科普，避免传谣 ,20191208-20200122,1
"
UnfeelingSue",@道理谁都懂丶 ,20191208-20200122,1
"
野生玫瑰_",早上起来打了两个喷嚏，我要吓死了 ,20191208-20200122,0
"
TnakT_T",武汉人民表示“武汉肺炎”这种表述我们不接受 ,20191208-20200122,1
"
希瓦自在天",大半个月了 源头找到没 ,20191208-20200122,1
"
小荣荣的小闫闫",昨天下飞机之后一直开始耳鸣??发烧，要把人吓死 ,20191208-20200122,0
"
哎哟5885071138",我也是啊 感冒 咳嗽了 ,20191208-20200122,0
"
這誰7",@朱十五 @我的猪叫朱十五 看完！ ,20191208-20200122,1
"
一只猫在一座山上",正在咳嗽发烧的我瑟瑟发抖 ,20191208-20200122,0
"
夏艺轩的夏",@Sharkshadow-- 爸爸看看 ,20191208-20200122,1
"
Xxbbb道长",@夫小君冲鸭  ,20191208-20200122,1
"
大器晚成的兰州妞儿caro",宝宝们，快看看！过年了，一定照顾好自己呀 ,20191208-20200122,1
"
关李peach",这新型冠状病毒画的竟有些可爱 ,20191208-20200122,1
"
马_几岁吖",@史同乐 ,20191208-20200122,1
"
大道了然111", //@久久为功A,20191208-20200122,0
"
夏天吧啊啊啊",家里啥都没有了，现在想出门买点菜和肉，咋办，还出不出门 ,20191208-20200122,0
"
小九月的二十五",正在做月子的我????昨天我妈刚买的两只鸡 ,20191208-20200122,0
"
爱吃草莓的老虎233",家里猫着吧最近 ,20191208-20200122,1
"
酷酷的小芒",干咳嗽好几天了，全身无力，吓死我了 ,20191208-20200122,0
"
NGC--2237号",多喝热水是真的有用?? ,20191208-20200122,0
"
三三三爷",广东14例，有11例是有去武汉或者从武汉来的，2例是密切接触者 ,20191208-20200122,1
"
莴陈想祢",生鱼片算吗？ ,20191208-20200122,0
"
怡宝-不是矿泉水怡宝",怕 ,20191208-20200122,0
"
张三七",我就想知道和吃海鲜有关吗。。才买了很多三文鱼 ,20191208-20200122,0
"
陆的小马甲",病毒走开 国人加油 ,20191208-20200122,1
"
山竹味王子饼干",关于能不能治好，不是跟没说一样 ,20191208-20200122,0
"
月华三十",我也是咳嗽乏力，不过是低烧不过37度 ,20191208-20200122,0
"
你又脸红了耶ovo",楼上 我也是，看着看着就开始鼻塞 ,20191208-20200122,0
"
AdventureOli",@YeL_YeL ,20191208-20200122,1
"
Vinopnn",发烧咳嗽乏力，兄弟块去医院吧，刚才看了得病状况，你全撞上了 ,20191208-20200122,0
"
人约分离后",好??么么哒 ,20191208-20200122,1
"
何jerjer",？？？ ,20191208-20200122,0
"
阿四家的佩奇",这层包括楼主都别怕，春季本来就是流行病发的高峰期，只要记得多锻炼，注意卫生卫生卫生卫生，别吃那些乱七八糟的就行，对了，还有要多喝热水，你信我，多喝热水真的对身体有好处 ,20191208-20200122,1
"
衣爸爸i",@丶匹夫 ,20191208-20200122,1
"
Rier_瑞",谁能告诉我 还能不能吃日料刺身生鱼片？？？？ ,20191208-20200122,0
"
奥利奥ooooooooo",有没有人告诉我去广州会不会感染 ,20191208-20200122,0
"
从母从妻从女",应该让大家知道确诊的那一例在哪个医院。 ,20191208-20200122,1
"
Berg国际范",我想问家里的狗还能养吗 ,20191208-20200122,1
"
Sharoooooon-Z",@kioki-zha ,20191208-20200122,0
"
Elliphant",@_JIALi山楂片 ,20191208-20200122,0
